url,success,doi_found,abstract_found,doi,abstract,extraction_method,error,source,category,domain
http://technology.newscientist.com/article.ns?id=dn12576&amp;feedId=online-news_rss20,False,False,False,,,,"HTTPConnectionPool(host='technology.newscientist.com', port=80): Max retries exceeded with url: /article.ns?id=dn12576&amp;feedId=online-news_rss20 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000236D7110760>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))",main_url,news,technology.newscientist.com
http://space.newscientist.com/channel/human-spaceflight/dn12485-commercial-space-station-to-launch-before-2010.html,False,False,False,,,,"HTTPConnectionPool(host='space.newscientist.com', port=80): Max retries exceeded with url: /channel/human-spaceflight/dn12485-commercial-space-station-to-launch-before-2010.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000236D71110F0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))",main_url,news,space.newscientist.com
http://abcnews.go.com/US/wireStory?id=3548224,False,False,False,,,,404 Client Error: Not Found for url: https://abcnews.go.com/US/wireStory?id=3548224,main_url,news,abcnews.go.com
http://www.opednews.com/articles/life_a_max_giro_070901_parents_3a_just_say_no.htm,True,False,True,,"Article: Parents: Just Say NO to Testing - Warning: School may be hazardous to our children's health.  Recess has been eliminated in many districts, music and art have been discontinued and 25% of school time is now spent on getting ready or taking the state wide tests.   Kindergarten is now the new first grade.  Parents can stop this immediately.",GenericHandler,,main_url,news,opednews.com
http://www.nytimes.com/2007/09/02/automobiles/02POWER.html?ex=1346385600&amp;en=e09fb2d938afb388&amp;ei=5090&amp;partner=rssuserland&amp;emc=rss,True,False,True,,Power failure? Some hybrid owners are plugging their houses into their cars to provide backup electricity.,GenericHandler,,main_url,news,nytimes.com
http://www.timesonline.co.uk/tol/news/uk/science/article2368681.ece,True,False,True,,"The latest UK and world news, business, sport and comment from The Times and The Sunday Times",GenericHandler,,main_url,news,timesonline.co.uk
http://www.timesonline.co.uk/tol/news/uk/science/article2368630.ece,True,False,True,,"The latest UK and world news, business, sport and comment from The Times and The Sunday Times",GenericHandler,,main_url,news,timesonline.co.uk
http://www.timesonline.co.uk/tol/news/world/europe/article2364434.ece#cid=OTC-RSS&amp;attr=797093,True,False,True,,"The latest UK and world news, business, sport and comment from The Times and The Sunday Times",GenericHandler,,main_url,news,timesonline.co.uk
http://allmedicalnews.com/medical_news/hypnosis_reduced_pain_after_effects_and_cost_of_breast_cancer_surgery.html,False,False,False,,,,404 Client Error: Not Found for url: http://allmedicalnews.com/medical_news/hypnosis_reduced_pain_after_effects_and_cost_of_breast_cancer_surgery.html,main_url,news,allmedicalnews.com
http://abcnews.go.com/Technology/wireStory?id=3540678,False,False,False,,,,404 Client Error: Not Found for url: https://abcnews.go.com/Technology/wireStory?id=3540678,main_url,news,abcnews.go.com
http://news.yahoo.com/s/ap/20070901/ap_on_fe_st/mythical_chupacabra;_ylt=AnxD0SSuQtMTeHJeSZlyBIvtiBIF,True,False,True,,The latest news and headlines from Yahoo News. Get breaking news stories and in-depth coverage with videos and photos.,GenericHandler,,main_url,news,news.yahoo.com
http://news.yahoo.com/s/kitv/20070902/lo_kitv/14031597,True,False,True,,The latest news and headlines from Yahoo News. Get breaking news stories and in-depth coverage with videos and photos.,GenericHandler,,main_url,news,news.yahoo.com
http://allmedicalnews.com/medical_news/taste_cells_that_are_specific_to_carbonation_found_in_fruit_flies.html,False,False,False,,,,404 Client Error: Not Found for url: http://allmedicalnews.com/medical_news/taste_cells_that_are_specific_to_carbonation_found_in_fruit_flies.html,main_url,news,allmedicalnews.com
http://news.bbc.co.uk/1/hi/health/4661366.stm,True,False,False,,,GenericHandler,,main_url,news,news.bbc.co.uk
http://news.mongabay.com/2007/0901-chupacabra.html,True,False,True,,Environmental science and conservation news,GenericHandler,,main_url,news,news.mongabay.com
http://www.reuters.com/article/newsOne/idUSN3126542220070902,False,False,False,,,,401 Client Error: HTTP Forbidden for url: https://www.reuters.com/article/newsOne/idUSN3126542220070902,main_url,news,reuters.com
http://abcnews.go.com/Technology/WhosCounting/Story?id=3543453&amp;page=1,True,False,True,,Course descriptions show some schools put math in a religious framework.,GenericHandler,,main_url,news,abcnews.go.com
http://www.timesonline.co.uk/tol/news/uk/science/article2381508.ece,True,False,True,,"The latest UK and world news, business, sport and comment from The Times and The Sunday Times",GenericHandler,,main_url,news,timesonline.co.uk
http://www.timesonline.co.uk/tol/news/world/asia/article2381520.ece,True,False,True,,"The latest UK and world news, business, sport and comment from The Times and The Sunday Times",GenericHandler,,main_url,news,timesonline.co.uk
http://physorg2.newscri.be/link/324761,False,False,False,,,,"HTTPConnectionPool(host='physorg2.newscri.be', port=80): Max retries exceeded with url: /link/324761 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000236D7494FA0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))",main_url,news,physorg2.newscri.be
http://news.bbc.co.uk/2/hi/americas/6955364.stm,True,False,False,,,GenericHandler,,main_url,news,news.bbc.co.uk
http://technology.newscientist.com/article/dn12585-warm-ice-layer-could-make-implants-biocompatible.html,False,False,False,,,,"HTTPConnectionPool(host='technology.newscientist.com', port=80): Max retries exceeded with url: /article/dn12585-warm-ice-layer-could-make-implants-biocompatible.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000236D6FF7370>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))",main_url,news,technology.newscientist.com
http://www.nytimes.com/2007/09/01/books/01sack.html?ex=1346299200&amp;en=0f9abb47d0ef937e&amp;ei=5090&amp;partner=rssuserland&amp;emc=rss,True,False,True,,"Attracted by his breadth of interests, Columbia University has appointed Oliver Sacks, the neurologist and writer, as its first Columbia artist, a newly created designation.",GenericHandler,,main_url,news,nytimes.com
http://technology.newscientist.com/article.ns?id=mg19526192.800&amp;feedId=online-news_rss20,False,False,False,,,,"HTTPConnectionPool(host='technology.newscientist.com', port=80): Max retries exceeded with url: /article.ns?id=mg19526192.800&amp;feedId=online-news_rss20 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000236D6FF74F0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))",main_url,news,technology.newscientist.com
http://www.newvoyagenews.com/?p=211,True,False,True,,"New Voyage News was a site which promoted an age old human dream, to reach beyond our earthly constraints and to launch to space! It was a community based site for centralizing news about Space and Space Tourism. Content is from the site's 2007 archived pa",GenericHandler,,main_url,news,newvoyagenews.com
http://space.newscientist.com/article.ns?id=dn12588&amp;feedId=online-news_rss20,False,False,False,,,,"HTTPConnectionPool(host='space.newscientist.com', port=80): Max retries exceeded with url: /article.ns?id=dn12588&amp;feedId=online-news_rss20 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000236D6F00F40>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))",main_url,news,space.newscientist.com
http://romaniannewsy.blogspot.com/2007/09/woman-sees-own-heart-on-display.html,True,False,False,,,GenericHandler,,main_url,news,romaniannewsy.blogspot.com
http://romaniannewsy.blogspot.com/2007/09/woman-sees-own-heart-on-display.html,True,False,False,,,GenericHandler,,main_url,news,romaniannewsy.blogspot.com
http://www.opednews.com/articles/opedne_robert_d_070904_epa_urged_to_strengt.htm,True,False,True,,"Article: EPA Urged to Strengthen Ozone Standards to Protect the Most Vulnerable - Air pollution threatens the health of millions of Americans, especially those who live in urban areas. EPA's current ozone standard is not adequate to protect human health. The agency should come clean and set tougher new ozone standards at the lowest level to protect the most vulnerable in our society, including children and the elderly.",GenericHandler,,main_url,news,opednews.com
http://www.newvoyagenews.com/?p=224,True,False,True,,"New Voyage News was a site which promoted an age old human dream, to reach beyond our earthly constraints and to launch to space! It was a community based site for centralizing news about Space and Space Tourism. Content is from the site's 2007 archived pa",GenericHandler,,main_url,news,newvoyagenews.com
http://environment.newscientist.com/article/dn12597-antarctic-pod-makes-way-for-green-research.html,False,False,False,,,,"HTTPConnectionPool(host='environment.newscientist.com', port=80): Max retries exceeded with url: /article/dn12597-antarctic-pod-makes-way-for-green-research.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000236D6FF6560>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))",main_url,news,environment.newscientist.com
http://technology.newscientist.com/article.ns?id=mg19526192.300&amp;feedId=online-news_rss20,False,False,False,,,,"HTTPConnectionPool(host='technology.newscientist.com', port=80): Max retries exceeded with url: /article.ns?id=mg19526192.300&amp;feedId=online-news_rss20 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000236D6FF5660>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))",main_url,news,technology.newscientist.com
http://www.newscientist.com/article.ns?id=mg19526204.800&amp;feedId=online-news_rss20,False,False,False,,,,410 Client Error: Gone for url: https://www.newscientist.com/article.ns/?amp;feedId=online-news_rss20&id=mg19526204.800,main_url,news,newscientist.com
http://news.bbc.co.uk/2/hi/health/6978384.stm,True,False,False,,,GenericHandler,,main_url,news,news.bbc.co.uk
http://news.webindia123.com/news/articles/Science/20070905/761562.html,False,False,False,,,,404 Client Error: Not Found for url: https://news.webindia123.com/news/articles/Science/20070905/761562.html,main_url,news,news.webindia123.com
http://news.yahoo.com/s/nm/20070905/sc_nm/eels_jaws_dc,True,False,True,,The latest news and headlines from Yahoo News. Get breaking news stories and in-depth coverage with videos and photos.,GenericHandler,,main_url,news,news.yahoo.com
http://technology.newscientist.com/article.ns?id=dn12586&amp;feedId=online-news_rss20,False,False,False,,,,"HTTPConnectionPool(host='technology.newscientist.com', port=80): Max retries exceeded with url: /article.ns?id=dn12586&amp;feedId=online-news_rss20 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000236D931FAF0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))",main_url,news,technology.newscientist.com
http://www.reuters.com/article/scienceNews/idUSN0538851520070905?feedType=RSS&amp;feedName=scienceNews,False,False,False,,,,401 Client Error: HTTP Forbidden for url: https://www.reuters.com/article/scienceNews/idUSN0538851520070905?feedType=RSS&amp;feedName=scienceNews,main_url,news,reuters.com
http://www.newscientist.com/article.ns?id=mg19526203.900&amp;feedId=online-news_rss20,False,False,False,,,,410 Client Error: Gone for url: https://www.newscientist.com/article.ns/?amp;feedId=online-news_rss20&id=mg19526203.900,main_url,news,newscientist.com
http://technology.newscientist.com/article/dn12602-thinking-of-words-can-guide-your-wheelchair-.html,False,False,False,,,,"HTTPConnectionPool(host='technology.newscientist.com', port=80): Max retries exceeded with url: /article/dn12602-thinking-of-words-can-guide-your-wheelchair-.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000236D931FBB0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))",main_url,news,technology.newscientist.com
http://space.newscientist.com/article.ns?id=dn12600&amp;feedId=space_rss20,False,False,False,,,,"HTTPConnectionPool(host='space.newscientist.com', port=80): Max retries exceeded with url: /article.ns?id=dn12600&amp;feedId=space_rss20 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000236D931F4F0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))",main_url,news,space.newscientist.com
http://www.newscientist.com/article/mg19526191.500-feedback.html,True,False,True,,Armageddon games WHY does NASA show the movie Armageddon as part of its management training programmes? We're talking about the thriller in which Bruce Willis saves the Earth by nuking an asteroid the size of Texas into dust just moments before it wipes out the home planet. If your first thought was that they're training &hellip;,GenericHandler,,main_url,news,newscientist.com
http://www.reuters.com/news/pictures/articleslideshow?articleId=USL0466082420070904&amp;start=1,False,False,False,,,,401 Client Error: HTTP Forbidden for url: https://www.reuters.com/news/pictures/articleslideshow?articleId=USL0466082420070904&amp;start=1,main_url,news,reuters.com
